"Type","Variety","Fresh Eating Generations","Storage Generations","Bed Ft/fresh eating Generation","Bed ft/Storage generation","time between generations","Fresh Eating Planting Dates","Storage Planting Dates","Parts Per Crop","Product ID","Greenhouse (days)","Outside","Maturity (total days from seeding)","End of season","seeds/packet","row feet/packet","Seeds/oz","$$/packet","$$/100","$$/250","$$/500","$$/M","$$/(M>=5)","$$/.25OZ","$$/.5OZ","$$/oz","$$/.125LB","$$/.25LB","$$/.5LB","$$/LB","ft/oz","$$/mini","Seeds/mini","row feet/mini","Harvest Duration (Days)","Notes"
"Carrots","Bolero",4,,9,,2,"4/14/12, 4/28/12",,1,"216",0,"04/14/11",75,"10/15/11",750,25,18000,3.45,,,,,1.25,,,,,,,,,,,,21,"Storage carrot"
"Carrots","Napoli (OG)",,1,,68,,,07/01/12,1,"209G",0,"04/14/11",58,"10/15/11",750,25,18000,3.95,,,,,2.4,,,,,,,,,,,,21,"Early or storage carrot"
"Carrots","Sugarsnax",4,,9,,2,"5/12/12, 5/26/12",,1,"2322",0,"04/14/11",68,"10/15/11",750,25,18000,3.45,,,,,1.3,,,,,,,,,,,,21,
"Beets","Merlin (OG)",4,1,6.5,51,2,"03/10/2012, 3/24/12, 4/7/12,4/21/12",06/01/12,1,"2758G",35,"04/14/11",48,"10/15/11",350,23,2200,3.45,,,,4.45,2.5,,,,,,,,,,,,14,
"Beets","Touchstone (OG)",4,1,6.5,51,2,"03/10/2012, 3/24/12, 4/7/12,4/21/12",06/01/12,1,"2818G",35,"04/14/11",55,"10/15/11",350,23,2200,3.45,,,,6.5,5.25,,,,,,,,150,,,,14,
"Eating Cucumbers","Olympian",4,,1.5,,2,"5/10/12, 5/24/12, 6/7/12, 6/21/12",,1,"2903",28,"06/01/11",52,"09/01/11",30,5,1100,3.45,,3.95,4.95,8.25,,,,,,,,,,,,,14,"Fresh eating"
"Pickling Cucumbers","H-19 Little Leaf",2,,40,,2,"5/10/12, 5/24/12",,1,"331G",28,"06/01/11",57,"09/01/11",30,5,1100,3.45,,4.45,5.9,10.6,,,,,,,,,175,,,,14,
"Sweet Potatoes","Beauregard",1,,84,,,06/24/12,,1,"2469",0,"06/24/11",90,"09/24/11",1,1,,,40,,,,,,,,,,,,,,,,,"25: $17.50; 50: $23.50; 100: $40 (Get 200)"
"Onions","Patterson",1,,26,,,02/29/12,,1,"2521",45,"04/14/11",104,"09/15/11",250,14,6500,3.45,,,,3.75,2.89,,,,,,,,,,,,21,"Storage/fresh onion"
"Onions","Redwing OG",1,,26,,,02/29/12,,1,"2137G",45,"04/14/11",118,"09/15/11",250,14,6500,4.95,,,,7.25,5.56,,,,,,,,,,,,21,"Storage/fresh onion"
"Onions","Redwing non-OG",,,,,,,,0,"2137",45,"04/14/11",118,"09/15/11",250,14,6500,3.45,,,,5.25,4.02,,,,,,,,,,,,,"Storage/fresh onion – cheaper non-OG alternative"
"Peas","Sugar sprint",2,,5.5,,1,"4/18/12, 4/25/12",,1,"2339",0,"04/14/11",58,"07/1/11",250,8,125,3.45,,,,,,,,,,,6.75,,,,,,14,"Maybe plant earlier"
